,name,url,agency_type,street_address,longitude,latitude
375,Wasco Adult Education - Independence HS,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10074&myzip=95814&distance=3500,Local Educational Agency (LEA),"1445 Poso Drive Wasco, CA 93280",-119.3418,35.58692
376,McFarland Adult Program,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9998&myzip=95814&distance=3500,Local Educational Agency (LEA),"599 Fifth Street McFarland, CA 93250",-119.234,35.68023
377,Lucia Mar Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10197&myzip=95814&distance=3500,Local Educational Agency (LEA),"1425 19th St. 1425 19th St. Oceano, CA 93445",-120.61066,35.10461
378,Shafter Site,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10421&myzip=95814&distance=3500,Community-based Organization,"341 State Avenue Shafter, CA 93263",-119.27327,35.501158
379,Kern Community College District,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=888888426&myzip=95814&distance=3500,Community College,"2100 Chester Avenue Bakersfield, CA 93301",-119.01808,35.378421
380,Bakersfield College,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=994437815&myzip=95814&distance=3500,Community College,"1801 Panorama Drive Bakersfield, California 93305",-118.972043,35.408263
381,Taft MCCF,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=11066&myzip=95814&distance=3500,,"330 Commerce Way Taft, CA 93268",-119.44162,35.133941
382,West Kern Community College District,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=888888380&myzip=95814&distance=3500,Community College,"29 Cougar Ct. Taft, CA 93268",-119.459198,35.150749
383,Taft College,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=994437818&myzip=95814&distance=3500,Community College,"29 Cougar Court Taft, California 93268",-119.459198,35.150749
384,Del Norte USD Adult Education - Sunset HS,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10076&myzip=95814&distance=3500,Local Educational Agency (LEA),"301 W. Washington Blvd. Crescent City, CA 95531",-124.208397,41.770761
385,Del Norte Reads,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10412&myzip=95814&distance=3500,Public Library,"1080 Mason Mall Suite 8B Crescent City, CA 95531",-124.196757,41.751526
386,"College of the Redwoods, Del Norte Campus",https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10798&myzip=95814&distance=3500,,"883 W. Washington Blvd Crescent City, CA 95531",-124.211112,41.770635
387,Central Coast Literacy Council,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10529&myzip=95814&distance=3500,Community-based Organization,"421 S. McClelland Street Santa Maria, CA 93454",-120.43492,34.948904
388,Workforce Resource Center,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=99999902&myzip=95814&distance=3500,Local Public Agency,"1410 S Broadway # A Santa Maria, CA 93454",-120.0,37.0
389,Allan Hancock Joint Community College District,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=888888631&myzip=95814&distance=3500,Community College,"800 S. College Dr. Santa Maria, CA 93454",-120.421476,34.943855
390,Bakersfield Adult School/Kern High School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10184&myzip=95814&distance=3500,Local Educational Agency (LEA),"501 South Mount Vernon Avenue Bakersfield, CA 93307",-118.966879,35.349633
391,Lompoc Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10008&myzip=95814&distance=3500,Local Educational Agency (LEA),"320 North J Street Lompoc, CA 93436",-120.459056,34.643112
392,"Life Options, Vocational and Resource Center",https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=99999901&myzip=95814&distance=3500,CBO,"116 North I Street Lompoc, CA 93436",-120.458801,34.639703
393,Tehachapi Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10002&myzip=95814&distance=3500,Local Educational Agency (LEA),"400 South Snyder Tehachapi, CA 93561",-118.438606,35.127628
394,Farmworker Institute of Education & Leadership Development,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10422&myzip=95814&distance=3500,Community-based Organization,"122 E Tehachapi Blvd Suite C Tehachapi, CA 93561",-118.447052,35.13195
395,Sierra Sands Adult School - Mesquite HS,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9969&myzip=95814&distance=3500,Local Educational Agency (LEA),"140 W. Drummond Avenue Ridgecrest, CA 93555",-117.67118,35.63724
396,Sierra Sands Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=421530070&myzip=95814&distance=3500,LEA,"348 Rowe Street Ridgecrest, CA 93555",-117.66417,35.63985
397,Cerro Coso Community College,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=994437819&myzip=95814&distance=3500,Community College,"3000 College Heights Blvd. Ridgecrest, California 93555",-117.661273,35.567815
398,Wake Campus,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10406&myzip=95814&distance=3500,Community College,"300 N. Turnpike Rd. Santa Barbara, CA 93111",-119.78763,34.44498
399,Tri-Counties Regional Center,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=99999935&myzip=95814&distance=3500,CBO,"520 East Montecito Street Santa Barbara, CA 93103",-119.68697,34.42037
400,Santa Barbara Community College District,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=888888643&myzip=95814&distance=3500,Community College,"721 Cliff Drive Santa Barbara, CA 93109",-119.69873,34.40835
401,Mt. View Adult Education - Douglas HS,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9814&myzip=95814&distance=3500,Local Educational Agency (LEA),"3228 Douglas Avenue Mojave, CA 93501",-118.191488,35.059178
402,Kern County ROP,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=651595057&myzip=95814&distance=3500,LEA,"15926 K Street Mojave, CA 93501",-118.17307,35.05358
403,Ojai Adult Education,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10067&myzip=95814&distance=3500,Local Educational Agency (LEA),"414 E. Ojai Avenue Ojai, CA 93023",-119.2412,34.44887
404,Antelope Valley Community College District,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=888888447&myzip=95814&distance=3500,Community College,"3041 West Avenue K Lancaster, CA 93536",-118.184776,34.674938
405,Ventura County Community College District,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=888888383&myzip=95814&distance=3500,Community College,"255 W. Stanley Avenue, Ste 150 Ventura, CA 93001",-119.298691,34.301642
406,Santa Paula Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9933&myzip=95814&distance=3500,Local Educational Agency (LEA),"404 N. 6th Street Santa Paula, CA 93060",-119.070732,34.355555
407,Santa Paula Adult Education,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=285630140&myzip=95814&distance=3500,LEA,"333 North Palm Avenue Santa Paula, CA 93060",-119.073703,34.354412
408,Fillmore Adult,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=540133652&myzip=95814&distance=3500,LEA,"615 Shiells Drive Fillmore, CA 93015",-118.9173,34.40485
409,Ventura Adult and Continuing Education,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10661&myzip=95814&distance=3500,Local Educational Agency (LEA),"5200 Valentine Road Ventura, CA 93003",-119.219536,34.255952
410,Antelope Valley Union High School District,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10614&myzip=95814&distance=3500,Local Educational Agency (LEA),"44811 North Sierra Highway Lancaster, CA 93534",-118.13699,34.69818
411,Oxnard Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9996&myzip=95814&distance=3500,Local Educational Agency (LEA),"1101 West Second Street Oxnard, CA 93030",-119.190617,34.202023
412,Moorpark Adult Educaction,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9805&myzip=95814&distance=3500,Local Educational Agency (LEA),"4500 Tierra Rejada Road Moorpark, CA 93021",-118.898244,34.270183
413,Moorpark College,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=994437821&myzip=95814&distance=3500,Community College,"7075 Campus Road Moorpark, California 93021",-118.834478,34.301081
414,Ventura County Community College District,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=11070&myzip=95814&distance=3500,,"761 East Daily Drive Camarillo, CA 93010",-119.057872,34.218998
415,Oxnard College,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=994437822&myzip=95814&distance=3500,Community College,"4000 South Rose Avenue Oxnard, California 93033",-119.1574,34.16471
416,Golden Oak Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9871&myzip=95814&distance=3500,Local Educational Agency (LEA),"23201 Dalbey Drive Santa Clarita, CA 91355",-118.54188,34.38627
417,Santa Clarita Community College District,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=888888394&myzip=95814&distance=3500,Community College,"26455 Rockwell Canyon Road Santa Clarita, CA 91355",-118.573734,34.404967
418,College of the Canyons,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=994437820&myzip=95814&distance=3500,Community College,"25455 Rockwell Canyon Road Santa Clarita, California 91355",-118.56,34.42
419,Antelope Valley Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10238&myzip=95814&distance=3500,Local Educational Agency (LEA),"45110 3rd Street East Lancaster, CA 93535",-118.125333,34.702579
420,Simi Institute for Careers & Education,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9922&myzip=95814&distance=3500,Local Educational Agency (LEA),"1880 Blackstock Ave. Simi Valley, CA 93065",-118.734889,34.270171
421,Conejo Valley Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10204&myzip=95814&distance=3500,Local Educational Agency (LEA),"1025 Old Farm Road Thousand Oaks, CA 91360",-118.859879,34.204856
422,Los Angeles Mission College,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10558&myzip=95814&distance=3500,Community College,"13356 Eldridge Avenue Sylmar, CA 91342",-118.42007,34.3145
423,North Valley Occupational Center,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9838&myzip=95814&distance=3500,Local Educational Agency (LEA),"11450 Sharp Avenue Mission Hills, CA 91345",-118.457044,34.277816
424,El Camino-Reseda Community Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9820&myzip=95814&distance=3500,Local Educational Agency (LEA),"21213 Van Owen Street Canoga Park, CA 91303",-118.5944,34.19385
425,West Valley Occupational Center,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9849&myzip=95814&distance=3500,Local Educational Agency (LEA),"6200 Winnetka Avenue Woodland Hills, CA 91367",-118.57071,34.18283
426,YPI FamilySource Center,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10414&myzip=95814&distance=3500,Community-based Organization,"1075 N. Western Ave. #110  Los Angeles, CA 91331",-118.309713,34.090462
427,Reseda Community Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9841&myzip=95814&distance=3500,Local Educational Agency (LEA),"18230 Kittridge Street Reseda, CA 91335",-118.53049,34.19004
428,Los Angeles Pierce College,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=994437823&myzip=95814&distance=3500,Community College,"6201 Winnetka Avenue Woodland Hills, California 91371",-118.571173,34.182833
429,Las Virgenes Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9932&myzip=95814&distance=3500,Local Educational Agency (LEA),"4345 N. Las Virgenes Road Calabasas, CA 91302",-118.71098,34.11075
430,Van Nuys Day Labor Site,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10443&myzip=95814&distance=3500,Community-based Organization,"8200 Balboa Place Van Nuys, CA 91406",-118.50201,34.21924
431,North Hollywood Day Labor Site,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10442&myzip=95814&distance=3500,Community-based Organization,"11841 Sherman Way North Hollywood, CA 91605",-118.39192,34.20136
432,Van Nuys Community Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9844&myzip=95814&distance=3500,Local Educational Agency (LEA),"6535 Cedros Avenue Van Nuys, CA 91411",-118.45331,34.18983
433,Los Angeles Valley College,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10561&myzip=95814&distance=3500,Community College,"5800 Fulton Avenue Valley Glen, CA 91401",-118.42233,34.175857
434,Burbank Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9792&myzip=95814&distance=3500,Local Educational Agency (LEA),"3811 W. Allan Avenue Burbank, CA 91505",-118.352982,34.17757
435,Community Enhancement Services,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10509&myzip=95814&distance=3500,Community-based Organization,"401 South Glenoaks Boulevard Suite 211 Burbank, CA 91502",-118.309677,34.185465
436,Glendale Community College,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10393&myzip=95814&distance=3500,Community College,"1500 North Verdugo Road Glendale, CA 91208",-118.228104,34.16898
437,Armenian Relief Society,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=99999919&myzip=95814&distance=3500,CBO,"517 W Glenoaks Boulevard Glendale, CA 91202",-118.249465,34.15857
438,Barstow Adult Evening School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9773&myzip=95814&distance=3500,Local Educational Agency (LEA),"551 South Avenue H Barstow, CA 92311",-117.04742,34.89296
439,Barstow Community College District,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=888888446&myzip=95814&distance=3500,Community College,"2700 Barstow Road Barstow, CA 92311",-117.021004,34.870571
440,Hollywood Community Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9827&myzip=95814&distance=3500,Local Educational Agency (LEA),"1521 N. Highland Avenue Los Angeles, CA 90028",-118.33913,34.09868
441,Venice Skills Center,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9845&myzip=95814&distance=3500,Local Educational Agency (LEA),"611 5th Avenue Venice,   90025",-118.472304,33.995977
442,Garfield Campus,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10392&myzip=95814&distance=3500,Community College,"1122 East Garfield Ave. Glendale, CA 91205",-118.240695,34.135692
443,"City of Glendale, Library Arts & Culture ",https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=99999920&myzip=95814&distance=3500,Public Library,"222 East Harvard Street Glendale, CA 91205",-118.253484,34.143514
444,Beverly Hills Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10212&myzip=95814&distance=3500,Local Educational Agency (LEA),"255 S. Lasky Drive Beverly Hills, CA 90212",-118.410363,34.062403
445,Pasadena Adult Education,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10065&myzip=95814&distance=3500,Local Educational Agency (LEA),"351 S. Hudson Avenue Room 214 Pasadena, CA 91109",-118.1342,34.13992
446,Twilight Adult/CIS Academy,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=11046&myzip=95814&distance=3500,,"351 S. Hudson Ave Pasadena, CA 91109",-118.1342,34.13992
447,Los Angeles City College,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=994437824&myzip=95814&distance=3500,Community College,"855 North Vermont Avenue Los Angeles, California 90029",-118.29192,34.08687
448,Santa Monica-Malibu Adult Education Center,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10130&myzip=95814&distance=3500,Local Educational Agency (LEA),"2510 Lincoln Blvd. Room 2013 Santa Monica, CA 90405",-118.47775,34.00796
449,Santa Monica Community College District,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=888888393&myzip=95814&distance=3500,Community College,"1900 Pico Boulevard Santa Monica, CA 90405",-118.46977,34.01916
450,YPI Community Center,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10721&myzip=95814&distance=3500,,"12502 Van Nuys Boulevard 1st Floor Pacoima, CA 90004",-118.40516,34.27822
451,Snowline Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=11060&myzip=95814&distance=3500,,"9298 Sheep Creek Rd Phelan, CA 92371",-117.57243,34.41811
452,Snowline Adult,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=570134106&myzip=95814&distance=3500,LEA,"9298 Sheep Creek Road Phelan, CA 92371",-117.57243,34.41811
453,Pasadena Area Community College District,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=888888408&myzip=95814&distance=3500,Community College,"1570 E. Colorado Boulevard Pasadena, CA 91106",-118.119184,34.143935
454,Pasadena Community College - Noncredit Division,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10401&myzip=95814&distance=3500,Community College,"3035 E. Foothill Blvd Pasadena, CA 91107",-118.086237,34.15087
455,Santa Monica College,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10818&myzip=95814&distance=3500,,"Noncredit (Adult Education) Programs 1900 Pico Boulevard Santa Monica, CA 90066",-118.470881,34.018743
456,Royal Palms Recovery Center,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10453&myzip=95814&distance=3500,Community-based Organization,"360 South Westlake Avenue Los Angeles, CA 90057",-118.27225,34.06076
457,Culver City Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10207&myzip=95814&distance=3500,Local Educational Agency (LEA),"4909 Overland Avenue Culver City, CA 90230",-118.397621,34.007951
458,Los Angeles Technology Center,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9833&myzip=95814&distance=3500,Local Educational Agency (LEA),"3721 W. Washington Boulevard Los Angeles, CA 90018",-118.32544,34.04005
459,East Los Angeles Skills Center,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9819&myzip=95814&distance=3500,Local Educational Agency (LEA),"3921 Selig Place Los Angeles, CA 90031",-118.19725,34.06867
460,Regional Occupational Program Center,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9840&myzip=95814&distance=3500,Local Educational Agency (LEA),"333 S. Beaudry Avenue 18th Floor, Room 156 Los Angeles, CA 90017",-118.25726,34.05613
461,Division of Adult and Career Education (LAUSD),https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10455&myzip=95814&distance=3500,Local Educational Agency (LEA),"333 South Beaudry Avenue 18th Floor Los Angeles, CA 90017",-118.25726,34.05613
462,Los Angeles Community College District,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=888888422&myzip=95814&distance=3500,Community College,"770 Wilshire Boulevard Los Angeles, CA 90017",-118.258111,34.049138
463,Evans Community Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9821&myzip=95814&distance=3500,Local Educational Agency (LEA),"717 N. Figueroa Street Los Angeles, CA 90012",-118.24577,34.06393
464,E. Manfred Evans Community Adult,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=331931427&myzip=95814&distance=3500,LEA,"717 North Figueroa Street Los Angeles, CA 90012",-118.24577,34.06393
465,Abram Friedman Occupational Center,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9815&myzip=95814&distance=3500,Local Educational Agency (LEA),"1646 S. Olive Street Los Angeles, CA 90015",-118.26572,34.03456
466,Los Angeles Trade Technical College,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10483&myzip=95814&distance=3500,Community College,"400 West Washington Blvd. Los Angeles, CA 90015",-118.26066,34.02808
467,Job Corps,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=99999946&myzip=95814&distance=3500,Local Public Agency,"1020 S. Olive Street Los Angeles, CA 90015",-118.2599,34.04162
468,Workability,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=99999922&myzip=95814&distance=3500,State Agency,"5151 State University Drive, Administration Building Room 127 Los Angeles, CA 90032",-118.170923,34.062769
469,DISKovery Angelina,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10419&myzip=95814&distance=3500,Community-based Organization,"231 E. Third St., Suite G-106  Los Angeles, CA 90013",-118.24373,34.04849
470,Alhambra Adult Education Division,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10049&myzip=95814&distance=3500,Local Educational Agency (LEA),"15 W. Alhambra Road Alhambra, CA 91801",-118.13176,34.10021
471,East Los Angeles Occupational Center,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9818&myzip=95814&distance=3500,Local Educational Agency (LEA),"2100 Marengo Street Los Angeles, CA 90033",-118.205792,34.055693
472,Silver Valley Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10068&myzip=95814&distance=3500,Local Educational Agency (LEA),"33525 Donnay Yermo, CA 92398",-116.83,34.91
473,Arcadia Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=611995760&myzip=95814&distance=3500,LEA,"150 South Third Avenue Arcadia, CA 91006",-118.0235,34.13801
474,Monrovia Community Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10143&myzip=95814&distance=3500,Local Educational Agency (LEA),"920 S. Mountain Avenue Monrovia, CA 91016",-117.985441,34.141849
475,LAUSD ROP Center,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=331931849&myzip=95814&distance=3500,LEA,"716 East 14th Street, First Floor Los Angeles, CA 90021",-118.25312,34.03142
476,Garfield Community Adult School- Eastside Learning Ctr.,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9824&myzip=95814&distance=3500,Local Educational Agency (LEA),"831 N. Bonnie Beach Place Los Angeles, CA 90063",-118.181535,34.046241
477,Temple City Adult Education,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9768&myzip=95814&distance=3500,Local Educational Agency (LEA),"9229 Pentland Street Temple City, CA 91780",-118.066873,34.094263
478,Dr. Doug Sears Learning Center,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=521932094&myzip=95814&distance=3500,LEA,"9229 Pentland Avenue Temple City, CA 91780",-118.066873,34.094263
479,Jefferson Community Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9829&myzip=95814&distance=3500,Local Educational Agency (LEA),"1319 E. 41st Street Los Angeles, CA 90011",-118.25134,34.00928
480,Victor Valley Community College,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=11064&myzip=95814&distance=3500,,"18422 Bear Valley Road Victorville, CA 92395",-117.259483,34.471001
481,Victor Valley Community College District,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=888888382&myzip=95814&distance=3500,Community College,"18422 Bear Valley Road Victorville, CA 92395",-117.259483,34.471001
482,Inglewood Community Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10180&myzip=95814&distance=3500,Local Educational Agency (LEA),"106 East Manchester Boulevard Suite 305 Inglewood, CA 90301",-118.354315,33.961439
483,New Opportunities Charter School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10812&myzip=95814&distance=3500,,"310 S. La Brea Inglewood, CA 90301",-118.353307,33.958992
484,East Los Angeles College,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10560&myzip=95814&distance=3500,Community College,"1301 Avenida Cesar Chavez Monterey Park, CA 91754",-118.1513,34.04047
485,Victor Valley Adult Education,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9941&myzip=95814&distance=3500,Local Educational Agency (LEA),"16350 Mojave Victorville, CA 92392",-117.30632,34.53078
486,Mt. Olive Alternative Education,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9806&myzip=95814&distance=3500,Local Educational Agency (LEA),"1400 Mt. Olive Drive Duarte, CA 91010",-117.955236,34.137362
487,Los Angeles Southwest College,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10562&myzip=95814&distance=3500,Community College,"1600 Imperial Highway Los Angeles, CA 90047",-118.30466,33.9308
488,El Monte-Rosemead Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10218&myzip=95814&distance=3500,Local Educational Agency (LEA),"10807 Ramona Boulevard El Monte, CA 91731",-118.038878,34.072306
489,Community Centers Inc,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10435&myzip=95814&distance=3500,Community-based Organization,"7518 South Vermont Avenue Los Angeles, CA 90044",-118.29131,33.97111
490,Fremont-Washington Community Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9823&myzip=95814&distance=3500,Local Educational Agency (LEA),"7676 S. San Pedro Street Los Angeles, CA 90003",-118.26936,33.96962
491,Huntington Park/Bell Community Adult,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=331934132&myzip=95814&distance=3500,LEA,"2945 Belgrave Avenue Huntington Park, CA 90255",-118.21714,33.98728
492,Azusa City Library,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10806&myzip=95814&distance=3500,,"729 N. Dalton Ave. Azusa, CA 91702",-117.90497,34.13451
493,Baldwin Park Adult & Community Education,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10240&myzip=95814&distance=3500,Local Educational Agency (LEA),"4640 Maine Avenue Baldwin Park, CA 91706",-117.959349,34.096716
494,Glendora Adult,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=761931252&myzip=95814&distance=3500,LEA,"500 North Loraine Avenue Glendora, CA 91741",-117.844658,34.14423
495,Citrus Community College District,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=888888440&myzip=95814&distance=3500,Community College,"1000 W Foothill Boulevard Glendora, CA 91741",-117.886864,34.13422
496,Schurr Community Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10041&myzip=95814&distance=3500,Local Educational Agency (LEA),"820 N. Wilcox Avenue Montebello, CA 90640",-118.12464,34.03183
497,Montebello Community Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10145&myzip=95814&distance=3500,Local Educational Agency (LEA),"149 North 21st Street Montebello, CA 90640",-118.1233,34.01414
498,Ford Park Community Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10014&myzip=95814&distance=3500,Local Educational Agency (LEA),"7800 Scout Avenue Bell Gardens, CA 90201",-118.14852,33.96027
499,Bell Gardens Community Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10283&myzip=95814&distance=3500,Local Educational Agency (LEA),"6119 Agra Street Bell Gardens, CA 90201",-118.15361,33.975559
500,Centinela Valley Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10533&myzip=95814&distance=3500,Local Educational Agency (LEA),"4953 Marine Avenue Lawndale, CA 90260",-118.36479,33.89484
501,Trade Tech Academy,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=11058&myzip=95814&distance=3500,,"231 E. Stephanie Dr. Covina, CA 91722",-117.886997,34.104571
502,Azusa Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10137&myzip=95814&distance=3500,Local Educational Agency (LEA),"1134 South Barranca Avenue Glendora, CA 91740",-117.88128,34.12002
503,Glendora Adult School/ Whitcomb High School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10170&myzip=95814&distance=3500,Local Educational Agency (LEA),"350 West Mauna Loa Glendora, CA 91740",-117.86904,34.125
504,South Bay Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10107&myzip=95814&distance=3500,Local Educational Agency (LEA),"3401 Inglewood Avenue Redondo Beach, CA 90278",-118.36141,33.8859
