geography,total,total_male,total_male_under_18_years,total_male_under_18_years_native,total_male_under_18_years_foreign_born,total_male_under_18_years_foreign_born_naturalized_u.s._citizen,total_male_under_18_years_foreign_born_not_a_u.s._citizen,total_male_18_years_and_over,total_male_18_years_and_over_native,total_male_18_years_and_over_foreign_born,total_male_18_years_and_over_foreign_born_naturalized_u.s._citizen,total_male_18_years_and_over_foreign_born_not_a_u.s._citizen,total_female,total_female_under_18_years,total_female_under_18_years_native,total_female_under_18_years_foreign_born,total_female_under_18_years_foreign_born_naturalized_u.s._citizen,total_female_under_18_years_foreign_born_not_a_u.s._citizen,total_female_18_years_and_over,total_female_18_years_and_over_native,total_female_18_years_and_over_foreign_born,total_female_18_years_and_over_foreign_born_naturalized_u.s._citizen,total_female_18_years_and_over_foreign_born_not_a_u.s._citizen,name,state,county
0500000US06007,164184,80466,13839,13755,84,25,59,66627,64891,1736,986,750,83718,13276,13221,55,2,53,70442,68557,1885,1191,694,"Butte County, California",06,007
0500000US06031,49728,27185,4873,4838,35,0,35,22312,21569,743,431,312,22543,4550,4434,116,0,116,17993,17071,922,574,348,"Kings County, California",06,031
0500000US06063,15640,7763,1143,1143,0,0,0,6620,6482,138,55,83,7877,1138,1138,0,0,0,6739,6627,112,56,56,"Plumas County, California",06,063
0500000US06079,194355,96400,14048,13986,62,43,19,82352,79429,2923,1970,953,97955,13591,13515,76,0,76,84364,81053,3311,2074,1237,"San Luis Obispo County, California",06,079
0500000US06019,293677,143009,26615,26268,347,54,293,116394,110554,5840,3800,2040,150668,25879,25408,471,241,230,124789,118373,6416,4246,2170,"Fresno County, California",06,019
0500000US06029,310638,156409,32051,31790,261,56,205,124358,120694,3664,2026,1638,154229,30618,30334,284,74,210,123611,119826,3785,2322,1463,"Kern County, California",06,029
0500000US06059,1306398,647059,109300,106052,3248,818,2430,537759,479451,58308,38931,19377,659339,102868,99759,3109,801,2308,556471,495972,60499,42060,18439,"Orange County, California",06,059
0500000US06111,391128,192385,33314,32901,413,93,320,159071,148737,10334,7228,3106,198743,31921,31536,385,98,287,166822,154800,12022,8748,3274,"Ventura County, California",06,111
0500000US06009,36932,18359,2919,2860,59,7,52,15440,14944,496,188,308,18573,2769,2769,0,0,0,15804,15180,624,341,283,"Calaveras County, California",06,009
0500000US06101,45239,21957,4751,4697,54,15,39,17206,16782,424,291,133,23282,4418,4319,99,2,97,18864,18180,684,367,317,"Sutter County, California",06,101
0500000US06081,304751,153062,26425,25140,1285,326,959,126637,106770,19867,12079,7788,151689,24959,24112,847,88,759,126730,107030,19700,13123,6577,"San Mateo County, California",06,081
0500000US06109,43565,21930,3426,3414,12,0,12,18504,17922,582,362,220,21635,3172,3172,0,0,0,18463,17843,620,491,129,"Tuolumne County, California",06,109
0500000US06077,240170,118189,22244,21867,377,36,341,95945,91550,4395,2903,1492,121981,20933,20689,244,6,238,101048,95560,5488,3794,1694,"San Joaquin County, California",06,077
0500000US06005,29571,15147,2053,2028,25,25,0,13094,12615,479,304,175,14424,1982,1952,30,30,0,12442,12040,402,332,70,"Amador County, California",06,005
