geography,total_living_in_area_1_year_ago,total_living_in_area_1_year_ago_native,total_living_in_area_1_year_ago_foreign_born,total_living_in_area_1_year_ago_foreign_born_naturalized_u.s._citizen,total_living_in_area_1_year_ago_foreign_born_not_a_u.s._citizen,total_living_in_area_1_year_ago_same_house,total_living_in_area_1_year_ago_same_house_native,total_living_in_area_1_year_ago_same_house_foreign_born,total_living_in_area_1_year_ago_same_house_foreign_born_naturalized_u.s._citizen,total_living_in_area_1_year_ago_same_house_foreign_born_not_a_u.s._citizen,total_living_in_area_1_year_ago_moved_within_same_county,total_living_in_area_1_year_ago_moved_within_same_county_native,total_living_in_area_1_year_ago_moved_within_same_county_foreign_born,total_living_in_area_1_year_ago_moved_within_same_county_foreign_born_naturalized_u.s._citizen,total_living_in_area_1_year_ago_moved_within_same_county_foreign_born_not_a_u.s._citizen,total_living_in_area_1_year_ago_moved_to_different_county_within_same_state,total_living_in_area_1_year_ago_moved_to_different_county_within_same_state_native,total_living_in_area_1_year_ago_moved_to_different_county_within_same_state_foreign_born,total_living_in_area_1_year_ago_moved_to_different_county_within_same_state_foreign_born_naturalized_u.s._citizen,total_living_in_area_1_year_ago_moved_to_different_county_within_same_state_foreign_born_not_a_u.s._citizen,total_living_in_area_1_year_ago_moved_to_different_state,total_living_in_area_1_year_ago_moved_to_different_state_native,total_living_in_area_1_year_ago_moved_to_different_state_foreign_born,total_living_in_area_1_year_ago_moved_to_different_state_foreign_born_naturalized_u.s._citizen,total_living_in_area_1_year_ago_moved_to_different_state_foreign_born_not_a_u.s._citizen,name,state,county
0500000US06011,21902,16298,5604,2348,3256,18353,13442,4911,2102,2809,2194,1681,513,169,344,1272,1092,180,77,103,83,83,0,0,0,"Colusa County, California",06,011
0500000US06021,28436,22864,5572,1764,3808,25138,19882,5256,1652,3604,1317,1134,183,85,98,1556,1423,133,27,106,425,425,0,0,0,"Glenn County, California",06,021
0500000US06007,220457,203916,16541,8832,7709,180332,166128,14204,7836,6368,27810,26107,1703,746,957,8714,8172,542,231,311,3601,3509,92,19,73,"Butte County, California",06,007
0500000US06031,145186,118699,26487,9085,17402,118421,95676,22745,8149,14596,16072,13324,2748,705,2043,6956,6123,833,182,651,3737,3576,161,49,112,"Kings County, California",06,031
0500000US06063,18965,18298,667,317,350,15829,15221,608,299,309,1686,1662,24,0,24,924,913,11,11,0,526,502,24,7,17,"Plumas County, California",06,063
0500000US06079,270497,242351,28146,13263,14883,226833,202304,24529,11686,12843,29429,26852,2577,1137,1440,9894,8981,913,424,489,4341,4214,127,16,111,"San Luis Obispo County, California",06,079
0500000US06019,954100,753766,200334,78368,121966,808660,632269,176391,71395,104996,115715,96949,18766,5618,13148,20912,16830,4082,1085,2997,8813,7718,1095,270,825,"Fresno County, California",06,019
0500000US06029,859398,688189,171209,58829,112380,728051,574206,153845,53827,100018,95480,82719,12761,3510,9251,22302,18811,3491,1219,2272,13565,12453,1112,273,839,"Kern County, California",06,029
0500000US06059,3108192,2175238,932954,501032,431922,2709673,1877539,832134,457131,375003,273160,195761,77399,32872,44527,75467,60103,15364,7276,8088,49892,41835,8057,3753,4304,"Orange County, California",06,059
0500000US06111,837016,649593,187423,90075,97348,738664,568631,170033,82824,87209,62860,50839,12021,4940,7081,20137,16635,3502,1301,2201,15355,13488,1867,1010,857,"Ventura County, California",06,111
0500000US06009,45267,42750,2517,1142,1375,40805,38488,2317,1124,1193,1780,1625,155,7,148,1848,1806,42,8,34,834,831,3,3,0,"Calaveras County, California",06,009
0500000US06101,94314,72747,21567,10647,10920,81008,61968,19040,9881,9159,7394,5878,1516,482,1034,5054,4118,936,209,727,858,783,75,75,0,"Sutter County, California",06,101
0500000US06081,750780,495230,255550,149630,105920,664126,437171,226955,138252,88703,42576,25412,17164,6714,10450,33559,23918,9641,3870,5771,10519,8729,1790,794,996,"San Mateo County, California",06,081
0500000US06109,52780,50207,2573,1561,1012,44214,41976,2238,1490,748,4968,4910,58,7,51,2612,2446,166,31,135,986,875,111,33,78,"Tuolumne County, California",06,109
0500000US06077,703940,540794,163146,78625,84521,605571,461789,143782,71380,72402,70228,55248,14980,5526,9454,21055,17766,3289,1387,1902,7086,5991,1095,332,763,"San Joaquin County, California",06,077
0500000US06005,36442,34363,2079,1188,891,31408,29614,1794,1082,712,2389,2262,127,21,106,1899,1758,141,68,73,746,729,17,17,0,"Amador County, California",06,005
