geography,total,total_native,total_foreign_born,total_foreign_born_naturalized_u.s._citizen,total_foreign_born_not_a_u.s._citizen,total_car_truck_or_van_-_drove_alone,total_car_truck_or_van_-_drove_alone_native,total_car_truck_or_van_-_drove_alone_foreign_born,total_car_truck_or_van_-_drove_alone_foreign_born_naturalized_u.s._citizen,total_car_truck_or_van_-_drove_alone_foreign_born_not_a_u.s._citizen,total_car_truck_or_van_-_carpooled,total_car_truck_or_van_-_carpooled_native,total_car_truck_or_van_-_carpooled_foreign_born,total_car_truck_or_van_-_carpooled_foreign_born_naturalized_u.s._citizen,total_car_truck_or_van_-_carpooled_foreign_born_not_a_u.s._citizen,total_public_transportation_(excluding_taxicab),total_public_transportation_(excluding_taxicab)_native,total_public_transportation_(excluding_taxicab)_foreign_born,total_public_transportation_(excluding_taxicab)_foreign_born_naturalized_u.s._citizen,total_public_transportation_(excluding_taxicab)_foreign_born_not_a_u.s._citizen,total_walked,total_walked_native,total_walked_foreign_born,total_walked_foreign_born_naturalized_u.s._citizen,total_walked_foreign_born_not_a_u.s._citizen,total_taxicab_motorcycle_bicycle_or_other_means,total_taxicab_motorcycle_bicycle_or_other_means_native,total_taxicab_motorcycle_bicycle_or_other_means_foreign_born,total_taxicab_motorcycle_bicycle_or_other_means_foreign_born_naturalized_u.s._citizen,total_taxicab_motorcycle_bicycle_or_other_means_foreign_born_not_a_u.s._citizen,total_worked_at_home,total_worked_at_home_native,total_worked_at_home_foreign_born,total_worked_at_home_foreign_born_naturalized_u.s._citizen,total_worked_at_home_foreign_born_not_a_u.s._citizen,name,state,county
0500000US06051,8720,6577,2143,311,1832,3754,3410,344,69,275,1096,707,389,169,220,1576,1053,523,0,523,960,523,437,30,407,609,285,324,0,324,725,599,126,43,83,"Mono County, California",06,051
0500000US06069,17036,11043,5993,2026,3967,13437,8881,4556,1689,2867,1925,993,932,208,724,27,18,9,0,9,312,230,82,32,50,426,255,171,2,169,909,666,243,95,148,"San Benito County, California",06,069
0500000US06001,726547,467256,259291,144676,114615,496607,322081,174526,103287,71239,76816,40823,35993,18278,17715,56152,36930,19222,9724,9498,27224,17759,9465,2816,6649,24333,17673,6660,2453,4207,45415,31990,13425,8118,5307,"Alameda County, California",06,001
0500000US06067,650268,492827,157441,92729,64712,499846,384073,115773,71227,44546,67515,43679,23836,11291,12545,19346,15631,3715,2185,1530,12190,9297,2893,1055,1838,15562,12658,2904,1313,1591,35809,27489,8320,5658,2662,"Sacramento County, California",06,067
0500000US06017,57262,49735,7527,3276,4251,43184,37788,5396,2586,2810,4592,3419,1173,311,862,382,257,125,53,72,1534,1266,268,64,204,1020,928,92,5,87,6550,6077,473,257,216,"El Dorado County, California",06,017
0500000US06055,76615,53835,22780,9281,13499,58857,42395,16462,7508,8954,9307,5132,4175,1045,3130,694,316,378,73,305,2693,1929,764,229,535,1204,752,452,128,324,3860,3311,549,298,251,"Napa County, California",06,055
0500000US06073,1606823,1162898,443925,240394,203531,1223047,892475,330572,189041,141531,146081,91571,54510,26071,28439,47206,29645,17561,5378,12183,45841,35327,10514,4113,6401,34408,25511,8897,3294,5603,110240,88369,21871,12497,9374,"San Diego County, California",06,073
0500000US06053,182187,112036,70151,19775,50376,129232,85014,44218,15512,28706,20119,9995,10124,2411,7713,3080,2012,1068,210,858,5635,4110,1525,477,1048,15670,4680,10990,399,10591,8451,6225,2226,766,1460,"Monterey County, California",06,053
0500000US06075,715735,462958,252777,147143,105634,237294,149676,87618,55954,31664,63652,35827,27825,17037,10788,286324,187581,98743,54721,44022,55096,36428,18668,8811,9857,40219,29651,10568,4841,5727,33150,23795,9355,5779,3576,"San Francisco County, California",06,075
0500000US06091,916,903,13,13,0,619,606,13,13,0,50,50,0,0,0,3,3,0,0,0,37,37,0,0,0,8,8,0,0,0,199,199,0,0,0,"Sierra County, California",06,091
