geography,total,total_native,total_foreign_born,total_foreign_born_naturalized_u.s._citizen,total_foreign_born_not_a_u.s._citizen,total_car_truck_or_van_-_drove_alone,total_car_truck_or_van_-_drove_alone_native,total_car_truck_or_van_-_drove_alone_foreign_born,total_car_truck_or_van_-_drove_alone_foreign_born_naturalized_u.s._citizen,total_car_truck_or_van_-_drove_alone_foreign_born_not_a_u.s._citizen,total_car_truck_or_van_-_carpooled,total_car_truck_or_van_-_carpooled_native,total_car_truck_or_van_-_carpooled_foreign_born,total_car_truck_or_van_-_carpooled_foreign_born_naturalized_u.s._citizen,total_car_truck_or_van_-_carpooled_foreign_born_not_a_u.s._citizen,total_public_transportation_(excluding_taxicab),total_public_transportation_(excluding_taxicab)_native,total_public_transportation_(excluding_taxicab)_foreign_born,total_public_transportation_(excluding_taxicab)_foreign_born_naturalized_u.s._citizen,total_public_transportation_(excluding_taxicab)_foreign_born_not_a_u.s._citizen,total_walked,total_walked_native,total_walked_foreign_born,total_walked_foreign_born_naturalized_u.s._citizen,total_walked_foreign_born_not_a_u.s._citizen,total_taxicab_motorcycle_bicycle_or_other_means,total_taxicab_motorcycle_bicycle_or_other_means_native,total_taxicab_motorcycle_bicycle_or_other_means_foreign_born,total_taxicab_motorcycle_bicycle_or_other_means_foreign_born_naturalized_u.s._citizen,total_taxicab_motorcycle_bicycle_or_other_means_foreign_born_not_a_u.s._citizen,total_worked_at_home,total_worked_at_home_native,total_worked_at_home_foreign_born,total_worked_at_home_foreign_born_naturalized_u.s._citizen,total_worked_at_home_foreign_born_not_a_u.s._citizen,name,state,county
0500000US06103,23284,19979,3305,1877,1428,18915,16350,2565,1487,1078,2193,1653,540,282,258,64,43,21,21,0,677,562,115,80,35,351,327,24,0,24,1084,1044,40,7,33,"Tehama County, California",06,103
0500000US06025,58660,34822,23838,12635,11203,47766,28976,18790,10283,8507,5185,2864,2321,1117,1204,460,271,189,71,118,1134,590,544,360,184,1545,1002,543,194,349,2570,1119,1451,610,841,"Imperial County, California",06,025
0500000US06051,7781,5948,1833,199,1634,3489,3213,276,50,226,545,383,162,91,71,1529,1006,523,0,523,861,439,422,15,407,632,308,324,0,324,725,599,126,43,83,"Mono County, California",06,051
0500000US06069,26596,19636,6960,2913,4047,21348,16154,5194,2377,2817,3598,2264,1334,375,959,135,94,41,32,9,313,231,82,32,50,293,227,66,2,64,909,666,243,95,148,"San Benito County, California",06,069
0500000US06001,753329,470545,282784,153996,128788,467275,288689,178586,104109,74477,75924,39401,36523,18345,18178,109855,72997,36858,17539,19319,27809,18182,9627,2839,6788,27051,19286,7765,3046,4719,45415,31990,13425,8118,5307,"Alameda County, California",06,001
0500000US06067,650426,482614,167812,98609,69203,501224,376557,124667,76180,48487,67967,42397,25570,12312,13258,17640,14385,3255,1892,1363,12315,9308,3007,1139,1868,15471,12478,2993,1428,1565,35809,27489,8320,5658,2662,"Sacramento County, California",06,067
0500000US06017,78495,69473,9022,4881,4141,61045,54554,6491,3631,2860,6665,5420,1245,553,692,1413,1017,396,292,104,1595,1311,284,80,204,1227,1094,133,68,65,6550,6077,473,257,216,"El Dorado County, California",06,017
0500000US06055,69406,49352,20054,8787,11267,52792,38124,14668,6894,7774,7969,4636,3333,1181,2152,976,632,344,79,265,2718,1942,776,241,535,1091,707,384,94,290,3860,3311,549,298,251,"Napa County, California",06,055
0500000US06073,1575008,1138209,436799,235074,201725,1196562,871481,325081,184778,140303,139456,86820,52636,24688,27948,48072,30251,17821,5575,12246,45998,35472,10526,4199,6327,34680,25816,8864,3337,5527,110240,88369,21871,12497,9374,"San Diego County, California",06,073
0500000US06053,185131,111335,73796,19918,53878,131564,84288,47276,15652,31624,19851,9784,10067,2421,7646,3154,2155,999,177,822,5774,4164,1610,494,1116,16337,4719,11618,408,11210,8451,6225,2226,766,1460,"Monterey County, California",06,053
0500000US06075,495315,320280,175035,103932,71103,170042,107849,62193,42264,19929,33747,19198,14549,9898,4651,168514,107599,60915,32764,28151,54835,35978,18857,9049,9808,35027,25861,9166,4178,4988,33150,23795,9355,5779,3576,"San Francisco County, California",06,075
0500000US06091,1101,1088,13,13,0,732,719,13,13,0,125,125,0,0,0,0,0,0,0,0,37,37,0,0,0,8,8,0,0,0,199,199,0,0,0,"Sierra County, California",06,091
0500000US06107,168712,114415,54297,17836,36461,131639,93483,38156,14218,23938,24148,12471,11677,2244,9433,1104,804,300,94,206,2872,1658,1214,332,882,3789,2296,1493,188,1305,5160,3703,1457,760,697,"Tulare County, California",06,107
0500000US06113,93885,67507,26378,12727,13651,62920,46317,16603,8978,7625,10740,6153,4587,1654,2933,3634,2443,1191,505,686,3093,2332,761,348,413,8840,6636,2204,631,1573,4658,3626,1032,611,421,"Yolo County, California",06,113
0500000US06023,57251,53499,3752,1453,2299,41239,38604,2635,1077,1558,5229,4849,380,132,248,1085,1033,52,0,52,3863,3546,317,77,240,1590,1525,65,16,49,4245,3942,303,151,152,"Humboldt County, California",06,023
0500000US06057,40996,37622,3374,1436,1938,30485,28237,2248,1101,1147,3512,3172,340,80,260,493,467,26,0,26,1136,813,323,92,231,1108,1050,58,0,58,4262,3883,379,163,216,"Nevada County, California",06,057
0500000US06003,364,347,17,12,5,226,213,13,12,1,48,48,0,0,0,0,0,0,0,0,33,33,0,0,0,6,6,0,0,0,51,47,4,0,4,"Alpine County, California",06,003
0500000US06039,50407,35503,14904,5110,9794,38490,28575,9915,3854,6061,7815,3888,3927,1033,2894,247,116,131,31,100,1016,713,303,90,213,1021,603,418,52,366,1818,1608,210,50,160,"Madera County, California",06,039
0500000US06045,35736,29502,6234,2239,3995,26652,22284,4368,1640,2728,3626,2638,988,272,716,113,93,20,0,20,1863,1362,501,231,270,598,511,87,11,76,2884,2614,270,85,185,"Mendocino County, California",06,045
0500000US06087,130571,101857,28714,10968,17746,90419,71125,19294,8143,11151,11745,8144,3601,1046,2555,3607,2995,612,146,466,5832,4732,1100,323,777,9191,6424,2767,554,2213,9777,8437,1340,756,584,"Santa Cruz County, California",06,087
0500000US06105,4610,4252,358,82,276,3193,3123,70,52,18,440,433,7,0,7,3,3,0,0,0,175,162,13,0,13,102,102,0,0,0,697,429,268,30,238,"Trinity County, California",06,105
0500000US06037,4685201,2702564,1982637,1001303,981334,3451960,2068176,1383784,772155,611629,449885,212865,237020,104583,132437,295601,129313,166288,41566,124722,128451,71978,56473,17965,38508,109814,62617,47197,13422,33775,249490,157615,91875,51612,40263,"Los Angeles County, California",06,037
0500000US06065,954390,678102,276288,136907,139381,737003,530300,206703,107382,99321,123361,77373,45988,18668,27320,12823,9238,3585,1597,1988,14962,10797,4165,1395,2770,16480,12119,4361,1661,2700,49761,38275,11486,6204,5282,"Riverside County, California",06,065
0500000US06071,856541,617734,238807,123508,115299,675814,494560,181254,97979,83275,102458,66455,36003,15007,20996,12801,8661,4140,1585,2555,14305,11183,3122,1169,1953,10595,7974,2621,1117,1504,40568,28901,11667,6651,5016,"San Bernardino County, California",06,071
0500000US06085,937067,492548,444519,240876,203643,703380,374743,328637,187928,140709,98275,42906,55369,26574,28795,41433,20086,21347,7794,13553,19753,12027,7726,2742,4984,28994,17116,11878,3703,8175,45232,25670,19562,12135,7427,"Santa Clara County, California",06,085
0500000US06041,127260,99239,28021,12334,15687,83092,65674,17418,8369,9049,10342,7064,3278,936,2342,12507,9610,2897,1256,1641,4668,3259,1409,358,1051,3093,2597,496,124,372,13558,11035,2523,1291,1232,"Marin County, California",06,041
0500000US06061,167691,144881,22810,14321,8489,133309,116467,16842,11118,5724,13096,9915,3181,1595,1586,2165,1729,436,248,188,2457,1968,489,149,340,2744,2305,439,138,301,13920,12497,1423,1073,350,"Placer County, California",06,061
0500000US06093,16073,14893,1180,529,651,11955,11142,813,363,450,1587,1457,130,33,97,110,58,52,4,48,789,727,62,40,22,206,186,20,0,20,1426,1323,103,89,14,"Siskiyou County, California",06,093
