,Geography,Estimate!!Total,Estimate!!Total!!U.S. citizen born in the United States,Estimate!!Total!!U.S. citizen born in Puerto Rico or U.S. Island Areas,Estimate!!Total!!U.S. citizen born abroad of American parent(s),Estimate!!Total!!U.S. citizen by naturalization,Estimate!!Total!!Not a U.S. citizen,NAME,state,county,tract
715,1400000US06019001408,2635,2092,0,21,172,350,"Census Tract 14.08, Fresno County, California",06,019,001408
716,1400000US06019001409,2048,1797,0,0,176,75,"Census Tract 14.09, Fresno County, California",06,019,001409
717,1400000US06019001410,11333,7050,0,183,2184,1916,"Census Tract 14.10, Fresno County, California",06,019,001410
718,1400000US06019001411,6826,5433,7,12,678,696,"Census Tract 14.11, Fresno County, California",06,019,001411
719,1400000US06019001412,3213,2467,0,4,528,214,"Census Tract 14.12, Fresno County, California",06,019,001412
720,1400000US06019001413,5988,4689,0,45,986,268,"Census Tract 14.13, Fresno County, California",06,019,001413
721,1400000US06019001414,8432,5897,55,45,1480,955,"Census Tract 14.14, Fresno County, California",06,019,001414
722,1400000US06019001500,2558,1967,0,0,130,461,"Census Tract 15, Fresno County, California",06,019,001500
723,1400000US06019001600,5013,4121,2,102,447,341,"Census Tract 16, Fresno County, California",06,019,001600
724,1400000US06019001700,6454,4825,0,123,493,1013,"Census Tract 17, Fresno County, California",06,019,001700
725,1400000US06019001800,4670,3443,6,47,295,879,"Census Tract 18, Fresno County, California",06,019,001800
726,1400000US06019001900,2852,2309,0,24,254,265,"Census Tract 19, Fresno County, California",06,019,001900
727,1400000US06019002000,6717,4946,0,37,420,1314,"Census Tract 20, Fresno County, California",06,019,002000
728,1400000US06019002100,5754,5339,0,25,192,198,"Census Tract 21, Fresno County, California",06,019,002100
729,1400000US06019002200,3656,3232,11,0,138,275,"Census Tract 22, Fresno County, California",06,019,002200
730,1400000US06019002300,3633,3075,0,18,167,373,"Census Tract 23, Fresno County, California",06,019,002300
731,1400000US06019002400,4383,3115,20,53,457,738,"Census Tract 24, Fresno County, California",06,019,002400
732,1400000US06019002501,5055,3615,0,29,429,982,"Census Tract 25.01, Fresno County, California",06,019,002501
733,1400000US06019002502,4719,3172,0,6,501,1040,"Census Tract 25.02, Fresno County, California",06,019,002502
734,1400000US06019002601,5235,3034,0,13,310,1878,"Census Tract 26.01, Fresno County, California",06,019,002601
735,1400000US06019002602,3643,2481,0,53,239,870,"Census Tract 26.02, Fresno County, California",06,019,002602
736,1400000US06019002701,4244,2586,0,33,458,1167,"Census Tract 27.01, Fresno County, California",06,019,002701
737,1400000US06019002702,4995,3153,2,10,365,1465,"Census Tract 27.02, Fresno County, California",06,019,002702
738,1400000US06019002800,4474,3074,0,44,321,1035,"Census Tract 28, Fresno County, California",06,019,002800
739,1400000US06019002903,4334,2792,0,18,464,1060,"Census Tract 29.03, Fresno County, California",06,019,002903
740,1400000US06019002904,3130,2302,0,63,268,497,"Census Tract 29.04, Fresno County, California",06,019,002904
741,1400000US06019002905,3075,2454,0,25,258,338,"Census Tract 29.05, Fresno County, California",06,019,002905
742,1400000US06019002906,5385,3751,0,153,734,747,"Census Tract 29.06, Fresno County, California",06,019,002906
743,1400000US06019003001,3419,2187,0,14,672,546,"Census Tract 30.01, Fresno County, California",06,019,003001
744,1400000US06019003003,4739,3268,0,52,499,920,"Census Tract 30.03, Fresno County, California",06,019,003003
745,1400000US06019003004,2624,2072,0,19,254,279,"Census Tract 30.04, Fresno County, California",06,019,003004
746,1400000US06019003102,7059,5832,0,158,485,584,"Census Tract 31.02, Fresno County, California",06,019,003102
747,1400000US06019003103,5520,4993,0,81,161,285,"Census Tract 31.03, Fresno County, California",06,019,003103
748,1400000US06019003104,4030,3224,0,33,368,405,"Census Tract 31.04, Fresno County, California",06,019,003104
749,1400000US06019003201,5235,4064,0,10,481,680,"Census Tract 32.01, Fresno County, California",06,019,003201
750,1400000US06019003202,5276,4457,17,52,566,184,"Census Tract 32.02, Fresno County, California",06,019,003202
751,1400000US06019003301,3012,2392,0,31,338,251,"Census Tract 33.01, Fresno County, California",06,019,003301
752,1400000US06019003302,4894,3619,0,8,369,898,"Census Tract 33.02, Fresno County, California",06,019,003302
753,1400000US06019003400,5458,4502,48,27,367,514,"Census Tract 34, Fresno County, California",06,019,003400
754,1400000US06019003500,5520,5014,0,19,303,184,"Census Tract 35, Fresno County, California",06,019,003500
755,1400000US06019003600,4185,4059,0,31,85,10,"Census Tract 36, Fresno County, California",06,019,003600
756,1400000US06019003701,3501,2844,0,12,90,555,"Census Tract 37.01, Fresno County, California",06,019,003701
757,1400000US06019003702,4576,3587,0,64,407,518,"Census Tract 37.02, Fresno County, California",06,019,003702
758,1400000US06019003803,10087,7789,0,68,1021,1209,"Census Tract 38.03, Fresno County, California",06,019,003803
759,1400000US06019003804,6063,5012,0,43,578,430,"Census Tract 38.04, Fresno County, California",06,019,003804
760,1400000US06019003805,7045,5126,0,14,602,1303,"Census Tract 38.05, Fresno County, California",06,019,003805
761,1400000US06019003807,3324,2724,0,32,139,429,"Census Tract 38.07, Fresno County, California",06,019,003807
762,1400000US06019003808,5017,3843,0,37,663,474,"Census Tract 38.08, Fresno County, California",06,019,003808
763,1400000US06019003809,5289,3872,23,76,490,828,"Census Tract 38.09, Fresno County, California",06,019,003809
764,1400000US06019003810,5804,4765,0,45,401,593,"Census Tract 38.10, Fresno County, California",06,019,003810
765,1400000US06019003900,5998,4339,0,28,260,1371,"Census Tract 39, Fresno County, California",06,019,003900
766,1400000US06019004001,8042,5721,0,14,613,1694,"Census Tract 40.01, Fresno County, California",06,019,004001
767,1400000US06019004002,7574,4635,0,66,479,2394,"Census Tract 40.02, Fresno County, California",06,019,004002
768,1400000US06019004100,3045,2193,0,48,328,476,"Census Tract 41, Fresno County, California",06,019,004100
769,1400000US06019004205,6399,5370,0,72,328,629,"Census Tract 42.05, Fresno County, California",06,019,004205
770,1400000US06019004207,10052,7770,0,138,1125,1019,"Census Tract 42.07, Fresno County, California",06,019,004207
771,1400000US06019004208,7857,6005,0,78,1498,276,"Census Tract 42.08, Fresno County, California",06,019,004208
772,1400000US06019004210,3553,3118,0,49,231,155,"Census Tract 42.10, Fresno County, California",06,019,004210
773,1400000US06019004211,7341,6620,0,35,208,478,"Census Tract 42.11, Fresno County, California",06,019,004211
774,1400000US06019004212,12669,10023,0,213,1260,1173,"Census Tract 42.12, Fresno County, California",06,019,004212
775,1400000US06019004213,3613,3338,0,0,256,19,"Census Tract 42.13, Fresno County, California",06,019,004213
776,1400000US06019004214,4704,4208,13,8,425,50,"Census Tract 42.14, Fresno County, California",06,019,004214
777,1400000US06019004215,4706,4054,13,0,468,171,"Census Tract 42.15, Fresno County, California",06,019,004215
778,1400000US06019004216,2988,2412,0,76,351,149,"Census Tract 42.16, Fresno County, California",06,019,004216
779,1400000US06019004301,3977,3602,0,39,311,25,"Census Tract 43.01, Fresno County, California",06,019,004301
780,1400000US06019004302,5124,4512,18,14,413,167,"Census Tract 43.02, Fresno County, California",06,019,004302
781,1400000US06019004303,4352,4003,7,20,254,68,"Census Tract 43.03, Fresno County, California",06,019,004303
782,1400000US06019004404,3124,2591,0,72,112,349,"Census Tract 44.04, Fresno County, California",06,019,004404
783,1400000US06019004405,3961,3579,6,10,268,98,"Census Tract 44.05, Fresno County, California",06,019,004405
784,1400000US06019004406,5200,4573,25,0,176,426,"Census Tract 44.06, Fresno County, California",06,019,004406
785,1400000US06019004408,3568,3126,0,7,334,101,"Census Tract 44.08, Fresno County, California",06,019,004408
786,1400000US06019004409,3471,3154,0,16,189,112,"Census Tract 44.09, Fresno County, California",06,019,004409
787,1400000US06019004503,5036,3881,0,74,639,442,"Census Tract 45.03, Fresno County, California",06,019,004503
788,1400000US06019004504,4858,3725,0,61,480,592,"Census Tract 45.04, Fresno County, California",06,019,004504
789,1400000US06019004505,5406,4963,36,3,246,158,"Census Tract 45.05, Fresno County, California",06,019,004505
790,1400000US06019004506,3235,2971,0,48,187,29,"Census Tract 45.06, Fresno County, California",06,019,004506
791,1400000US06019004601,3284,3117,12,0,105,50,"Census Tract 46.01, Fresno County, California",06,019,004601
792,1400000US06019004602,2472,2288,0,0,141,43,"Census Tract 46.02, Fresno County, California",06,019,004602
793,1400000US06019004701,7463,6660,0,24,474,305,"Census Tract 47.01, Fresno County, California",06,019,004701
794,1400000US06019004703,4299,3389,18,0,373,519,"Census Tract 47.03, Fresno County, California",06,019,004703
795,1400000US06019004704,5120,3865,19,28,465,743,"Census Tract 47.04, Fresno County, California",06,019,004704
796,1400000US06019004801,5258,4278,0,0,139,841,"Census Tract 48.01, Fresno County, California",06,019,004801
797,1400000US06019004802,4922,3907,47,0,399,569,"Census Tract 48.02, Fresno County, California",06,019,004802
798,1400000US06019004901,3590,2967,65,40,206,312,"Census Tract 49.01, Fresno County, California",06,019,004901
799,1400000US06019004902,2058,1860,0,7,83,108,"Census Tract 49.02, Fresno County, California",06,019,004902
800,1400000US06019005000,4267,3922,0,18,217,110,"Census Tract 50, Fresno County, California",06,019,005000
801,1400000US06019005100,6817,5970,0,69,352,426,"Census Tract 51, Fresno County, California",06,019,005100
802,1400000US06019005202,3376,2556,18,10,481,311,"Census Tract 52.02, Fresno County, California",06,019,005202
803,1400000US06019005203,4793,4157,0,24,241,371,"Census Tract 52.03, Fresno County, California",06,019,005203
804,1400000US06019005204,4450,3557,0,30,438,425,"Census Tract 52.04, Fresno County, California",06,019,005204
805,1400000US06019005301,6090,4758,0,36,495,801,"Census Tract 53.01, Fresno County, California",06,019,005301
806,1400000US06019005302,5247,4448,0,91,272,436,"Census Tract 53.02, Fresno County, California",06,019,005302
807,1400000US06019005304,5491,4247,36,65,427,716,"Census Tract 53.04, Fresno County, California",06,019,005304
808,1400000US06019005305,3687,3039,13,0,418,217,"Census Tract 53.05, Fresno County, California",06,019,005305
809,1400000US06019005403,4225,3538,0,71,197,419,"Census Tract 54.03, Fresno County, California",06,019,005403
810,1400000US06019005405,4002,3600,0,27,224,151,"Census Tract 54.05, Fresno County, California",06,019,005405
811,1400000US06019005406,3967,3500,0,0,249,218,"Census Tract 54.06, Fresno County, California",06,019,005406
812,1400000US06019005407,3317,2872,0,42,307,96,"Census Tract 54.07, Fresno County, California",06,019,005407
813,1400000US06019005408,2570,2302,0,1,3,264,"Census Tract 54.08, Fresno County, California",06,019,005408
814,1400000US06019005409,3621,3137,73,15,256,140,"Census Tract 54.09, Fresno County, California",06,019,005409
815,1400000US06019005410,3500,2924,0,16,236,324,"Census Tract 54.10, Fresno County, California",06,019,005410
816,1400000US06019005503,5480,4679,0,77,501,223,"Census Tract 55.03, Fresno County, California",06,019,005503
817,1400000US06019005504,3343,2742,7,9,461,124,"Census Tract 55.04, Fresno County, California",06,019,005504
818,1400000US06019005505,6889,5749,0,97,708,335,"Census Tract 55.05, Fresno County, California",06,019,005505
819,1400000US06019005507,5639,4903,0,64,525,147,"Census Tract 55.07, Fresno County, California",06,019,005507
820,1400000US06019005508,5549,4483,10,28,695,333,"Census Tract 55.08, Fresno County, California",06,019,005508
821,1400000US06019005509,5084,3896,0,78,653,457,"Census Tract 55.09, Fresno County, California",06,019,005509
822,1400000US06019005510,4893,3795,87,62,334,615,"Census Tract 55.10, Fresno County, California",06,019,005510
823,1400000US06019005512,4963,4392,0,13,287,271,"Census Tract 55.12, Fresno County, California",06,019,005512
824,1400000US06019005513,2819,2422,0,59,291,47,"Census Tract 55.13, Fresno County, California",06,019,005513
825,1400000US06019005514,4070,3417,0,22,459,172,"Census Tract 55.14, Fresno County, California",06,019,005514
826,1400000US06019005515,1657,1380,16,0,223,38,"Census Tract 55.15, Fresno County, California",06,019,005515
827,1400000US06019005516,5555,4653,122,22,376,382,"Census Tract 55.16, Fresno County, California",06,019,005516
828,1400000US06019005517,7819,6636,11,49,619,504,"Census Tract 55.17, Fresno County, California",06,019,005517
829,1400000US06019005518,5027,4359,26,21,469,152,"Census Tract 55.18, Fresno County, California",06,019,005518
830,1400000US06019005520,2880,2485,0,0,276,119,"Census Tract 55.20, Fresno County, California",06,019,005520
831,1400000US06019005522,4685,4138,0,57,314,176,"Census Tract 55.22, Fresno County, California",06,019,005522
832,1400000US06019005524,4619,3906,0,44,394,275,"Census Tract 55.24, Fresno County, California",06,019,005524
833,1400000US06019005525,1078,1031,0,0,40,7,"Census Tract 55.25, Fresno County, California",06,019,005525
834,1400000US06019005602,5282,4820,11,14,295,142,"Census Tract 56.02, Fresno County, California",06,019,005602
835,1400000US06019005605,1493,1292,0,25,70,106,"Census Tract 56.05, Fresno County, California",06,019,005605
836,1400000US06019005606,4094,3656,9,42,276,111,"Census Tract 56.06, Fresno County, California",06,019,005606
837,1400000US06019005607,4422,3701,24,37,182,478,"Census Tract 56.07, Fresno County, California",06,019,005607
838,1400000US06019005608,3395,3207,0,37,118,33,"Census Tract 56.08, Fresno County, California",06,019,005608
839,1400000US06019005701,3457,3017,0,36,159,245,"Census Tract 57.01, Fresno County, California",06,019,005701
840,1400000US06019005702,5180,4574,0,130,407,69,"Census Tract 57.02, Fresno County, California",06,019,005702
841,1400000US06019005703,5314,4687,0,49,448,130,"Census Tract 57.03, Fresno County, California",06,019,005703
842,1400000US06019005704,5513,4798,0,28,321,366,"Census Tract 57.04, Fresno County, California",06,019,005704
843,1400000US06019005801,4757,4273,0,11,285,188,"Census Tract 58.01, Fresno County, California",06,019,005801
844,1400000US06019005802,4811,4090,0,60,552,109,"Census Tract 58.02, Fresno County, California",06,019,005802
845,1400000US06019005804,7071,6333,0,32,625,81,"Census Tract 58.04, Fresno County, California",06,019,005804
846,1400000US06019005805,5331,4456,0,12,487,376,"Census Tract 58.05, Fresno County, California",06,019,005805
847,1400000US06019005904,5426,4395,0,35,529,467,"Census Tract 59.04, Fresno County, California",06,019,005904
848,1400000US06019005905,6882,6113,42,32,461,234,"Census Tract 59.05, Fresno County, California",06,019,005905
849,1400000US06019005906,2657,2237,0,10,257,153,"Census Tract 59.06, Fresno County, California",06,019,005906
850,1400000US06019005907,3408,2868,0,50,371,119,"Census Tract 59.07, Fresno County, California",06,019,005907
851,1400000US06019005909,7242,6109,9,70,923,131,"Census Tract 59.09, Fresno County, California",06,019,005909
852,1400000US06019005911,4714,3983,6,15,419,291,"Census Tract 59.11, Fresno County, California",06,019,005911
853,1400000US06019005912,4355,3899,7,13,323,113,"Census Tract 59.12, Fresno County, California",06,019,005912
854,1400000US06019006000,9233,8139,0,20,276,798,"Census Tract 60, Fresno County, California",06,019,006000
855,1400000US06019006100,7988,5651,0,115,684,1538,"Census Tract 61, Fresno County, California",06,019,006100
856,1400000US06019006201,2486,1743,0,6,163,574,"Census Tract 62.01, Fresno County, California",06,019,006201
857,1400000US06019006202,6523,4564,0,38,983,938,"Census Tract 62.02, Fresno County, California",06,019,006202
858,1400000US06019006300,7576,6306,0,69,629,572,"Census Tract 63, Fresno County, California",06,019,006300
859,1400000US06019006402,3031,2960,0,5,40,26,"Census Tract 64.02, Fresno County, California",06,019,006402
860,1400000US06019006403,5575,5163,0,32,137,243,"Census Tract 64.03, Fresno County, California",06,019,006403
861,1400000US06019006404,5095,4985,0,0,76,34,"Census Tract 64.04, Fresno County, California",06,019,006404
862,1400000US06019006405,5441,4977,0,18,285,161,"Census Tract 64.05, Fresno County, California",06,019,006405
863,1400000US06019006501,6829,4584,0,36,383,1826,"Census Tract 65.01, Fresno County, California",06,019,006501
864,1400000US06019006502,4384,2550,0,5,479,1350,"Census Tract 65.02, Fresno County, California",06,019,006502
865,1400000US06019006602,5945,3340,0,22,613,1970,"Census Tract 66.02, Fresno County, California",06,019,006602
866,1400000US06019006603,2367,2019,5,36,112,195,"Census Tract 66.03, Fresno County, California",06,019,006603
867,1400000US06019006604,8381,4799,38,49,766,2729,"Census Tract 66.04, Fresno County, California",06,019,006604
868,1400000US06019006700,6831,5724,0,0,575,532,"Census Tract 67, Fresno County, California",06,019,006700
869,1400000US06019006802,3483,2425,18,0,377,663,"Census Tract 68.02, Fresno County, California",06,019,006802
870,1400000US06019006900,3374,2311,0,9,274,780,"Census Tract 69, Fresno County, California",06,019,006900
871,1400000US06019007002,4581,3432,22,32,361,734,"Census Tract 70.02, Fresno County, California",06,019,007002
872,1400000US06019007003,8519,7099,0,72,494,854,"Census Tract 70.03, Fresno County, California",06,019,007003
873,1400000US06019007004,5508,4383,0,33,396,696,"Census Tract 70.04, Fresno County, California",06,019,007004
874,1400000US06019007100,7629,4786,0,64,750,2029,"Census Tract 71, Fresno County, California",06,019,007100
875,1400000US06019007201,7846,6877,0,13,539,417,"Census Tract 72.01, Fresno County, California",06,019,007201
876,1400000US06019007202,5294,4701,29,6,189,369,"Census Tract 72.02, Fresno County, California",06,019,007202
877,1400000US06019007300,4412,3016,0,0,593,803,"Census Tract 73, Fresno County, California",06,019,007300
878,1400000US06019007400,3379,2504,0,6,184,685,"Census Tract 74, Fresno County, California",06,019,007400
879,1400000US06019007500,5378,3685,0,54,515,1124,"Census Tract 75, Fresno County, California",06,019,007500
880,1400000US06019007600,4681,3336,0,0,155,1190,"Census Tract 76, Fresno County, California",06,019,007600
881,1400000US06019007700,6765,4615,0,49,500,1601,"Census Tract 77, Fresno County, California",06,019,007700
882,1400000US06019007801,2739,1348,0,3,253,1135,"Census Tract 78.01, Fresno County, California",06,019,007801
883,1400000US06019007802,5284,2543,0,8,274,2459,"Census Tract 78.02, Fresno County, California",06,019,007802
884,1400000US06019007901,3449,2973,31,25,60,360,"Census Tract 79.01, Fresno County, California",06,019,007901
885,1400000US06019007902,2908,1693,0,27,421,767,"Census Tract 79.02, Fresno County, California",06,019,007902
886,1400000US06019008000,5243,4459,0,74,336,374,"Census Tract 80, Fresno County, California",06,019,008000
887,1400000US06019008100,6411,5084,0,40,444,843,"Census Tract 81, Fresno County, California",06,019,008100
888,1400000US06019008200,6635,3524,34,134,455,2488,"Census Tract 82, Fresno County, California",06,019,008200
889,1400000US06019008301,5698,3030,0,19,466,2183,"Census Tract 83.01, Fresno County, California",06,019,008301
890,1400000US06019008302,7359,3420,26,19,464,3430,"Census Tract 83.02, Fresno County, California",06,019,008302
891,1400000US06019008401,8765,5610,0,17,810,2328,"Census Tract 84.01, Fresno County, California",06,019,008401
892,1400000US06019008402,1215,706,4,14,87,404,"Census Tract 84.02, Fresno County, California",06,019,008402
893,1400000US06019008501,3961,2265,0,0,344,1352,"Census Tract 85.01, Fresno County, California",06,019,008501
894,1400000US06019008502,8861,5452,34,0,598,2777,"Census Tract 85.02, Fresno County, California",06,019,008502
895,1400000US06021010100,8204,6200,0,88,652,1264,"Census Tract 101, Glenn County, California",06,021,010100
896,1400000US06021010200,4571,3827,8,8,199,529,"Census Tract 102, Glenn County, California",06,021,010200
897,1400000US06021010300,2122,1945,0,0,92,85,"Census Tract 103, Glenn County, California",06,021,010300
898,1400000US06021010400,7460,6050,0,14,373,1023,"Census Tract 104, Glenn County, California",06,021,010400
899,1400000US06021010501,3946,2733,14,20,389,790,"Census Tract 105.01, Glenn County, California",06,021,010501
900,1400000US06021010502,1632,1433,0,16,52,131,"Census Tract 105.02, Glenn County, California",06,021,010502
901,1400000US06023000100,3842,3466,0,76,137,163,"Census Tract 1, Humboldt County, California",06,023,000100
902,1400000US06023000200,6206,5702,0,28,281,195,"Census Tract 2, Humboldt County, California",06,023,000200
903,1400000US06023000300,6381,5859,0,0,273,249,"Census Tract 3, Humboldt County, California",06,023,000300
904,1400000US06023000400,4122,3712,0,28,131,251,"Census Tract 4, Humboldt County, California",06,023,000400
905,1400000US06023000500,4448,4213,0,0,125,110,"Census Tract 5, Humboldt County, California",06,023,000500
906,1400000US06023000600,4792,4438,0,19,137,198,"Census Tract 6, Humboldt County, California",06,023,000600
907,1400000US06023000700,4887,4591,0,61,78,157,"Census Tract 7, Humboldt County, California",06,023,000700
908,1400000US06023000800,5264,5003,0,16,147,98,"Census Tract 8, Humboldt County, California",06,023,000800
909,1400000US06023000900,5217,5022,0,32,67,96,"Census Tract 9, Humboldt County, California",06,023,000900
910,1400000US06023001000,6108,5732,0,86,34,256,"Census Tract 10, Humboldt County, California",06,023,001000
911,1400000US06023001101,7194,6755,0,97,190,152,"Census Tract 11.01, Humboldt County, California",06,023,001101
912,1400000US06023001200,4826,4593,24,61,56,92,"Census Tract 12, Humboldt County, California",06,023,001200
913,1400000US06023001300,1296,1252,0,18,17,9,"Census Tract 13, Humboldt County, California",06,023,001300
914,1400000US06023010102,2344,2224,0,28,38,54,"Census Tract 101.02, Humboldt County, California",06,023,010102
915,1400000US06023010200,2593,2493,2,10,43,45,"Census Tract 102, Humboldt County, California",06,023,010200
916,1400000US06023010300,3501,3408,15,25,42,11,"Census Tract 103, Humboldt County, California",06,023,010300
917,1400000US06023010400,3602,3485,0,18,69,30,"Census Tract 104, Humboldt County, California",06,023,010400
918,1400000US06023010501,7374,7024,0,72,62,216,"Census Tract 105.01, Humboldt County, California",06,023,010501
919,1400000US06023010502,6412,6127,0,79,134,72,"Census Tract 105.02, Humboldt County, California",06,023,010502
920,1400000US06023010600,1852,1774,3,26,48,1,"Census Tract 106, Humboldt County, California",06,023,010600
921,1400000US06023010700,7097,6560,0,59,163,315,"Census Tract 107, Humboldt County, California",06,023,010700
922,1400000US06023010800,4285,3954,0,23,150,158,"Census Tract 108, Humboldt County, California",06,023,010800
923,1400000US06023010901,4670,4004,0,9,154,503,"Census Tract 109.01, Humboldt County, California",06,023,010901
924,1400000US06023010902,3822,3704,0,31,42,45,"Census Tract 109.02, Humboldt County, California",06,023,010902
925,1400000US06023011000,4962,4608,0,24,224,106,"Census Tract 110, Humboldt County, California",06,023,011000
926,1400000US06023011100,4689,4564,0,26,16,83,"Census Tract 111, Humboldt County, California",06,023,011100
927,1400000US06023011200,3493,3141,0,21,133,198,"Census Tract 112, Humboldt County, California",06,023,011200
928,1400000US06023011500,3383,3130,0,3,73,177,"Census Tract 115, Humboldt County, California",06,023,011500
929,1400000US06023011600,3435,3317,0,26,22,70,"Census Tract 116, Humboldt County, California",06,023,011600
930,1400000US06023940000,3393,3144,199,0,0,50,"Census Tract 9400, Humboldt County, California",06,023,940000
931,1400000US06023990100,0,0,0,0,0,0,"Census Tract 9901, Humboldt County, California",06,023,990100
932,1400000US06025010101,4077,3260,23,99,114,581,"Census Tract 101.01, Imperial County, California",06,025,010101
933,1400000US06025010102,4564,3230,0,21,405,908,"Census Tract 101.02, Imperial County, California",06,025,010102
934,1400000US06025010200,2704,1901,19,23,305,456,"Census Tract 102, Imperial County, California",06,025,010200
935,1400000US06025010300,1166,822,0,51,113,180,"Census Tract 103, Imperial County, California",06,025,010300
936,1400000US06025010400,7812,5449,0,67,1162,1134,"Census Tract 104, Imperial County, California",06,025,010400
937,1400000US06025010500,6886,4462,30,202,859,1333,"Census Tract 105, Imperial County, California",06,025,010500
938,1400000US06025010600,6744,5653,0,0,582,509,"Census Tract 106, Imperial County, California",06,025,010600
939,1400000US06025010700,4574,3367,0,41,571,595,"Census Tract 107, Imperial County, California",06,025,010700
940,1400000US06025010800,1526,1167,4,20,215,120,"Census Tract 108, Imperial County, California",06,025,010800
941,1400000US06025010900,7017,4650,0,52,1524,791,"Census Tract 109, Imperial County, California",06,025,010900
942,1400000US06025011000,12986,10009,8,327,1622,1020,"Census Tract 110, Imperial County, California",06,025,011000
943,1400000US06025011100,3516,2336,23,105,559,493,"Census Tract 111, Imperial County, California",06,025,011100
944,1400000US06025011201,6761,4838,11,171,810,931,"Census Tract 112.01, Imperial County, California",06,025,011201
945,1400000US06025011202,5637,3497,0,207,742,1191,"Census Tract 112.02, Imperial County, California",06,025,011202
946,1400000US06025011300,12071,7192,0,410,1973,2496,"Census Tract 113, Imperial County, California",06,025,011300
947,1400000US06025011400,4568,3006,0,78,637,847,"Census Tract 114, Imperial County, California",06,025,011400
948,1400000US06025011500,6076,3413,0,185,875,1603,"Census Tract 115, Imperial County, California",06,025,011500
949,1400000US06025011600,6159,3225,0,322,1090,1522,"Census Tract 116, Imperial County, California",06,025,011600
950,1400000US06025011700,5184,3175,0,329,866,814,"Census Tract 117, Imperial County, California",06,025,011700
951,1400000US06025011801,3968,3097,0,96,554,221,"Census Tract 118.01, Imperial County, California",06,025,011801
952,1400000US06025011802,5509,4136,35,65,714,559,"Census Tract 118.02, Imperial County, California",06,025,011802
953,1400000US06025011803,6373,4263,38,199,1049,824,"Census Tract 118.03, Imperial County, California",06,025,011803
954,1400000US06025011900,10874,5884,16,168,2681,2125,"Census Tract 119, Imperial County, California",06,025,011900
955,1400000US06025012001,3776,1654,0,194,752,1176,"Census Tract 120.01, Imperial County, California",06,025,012001
956,1400000US06025012002,10864,5465,0,373,2547,2479,"Census Tract 120.02, Imperial County, California",06,025,012002
957,1400000US06025012100,6481,3987,0,178,1265,1051,"Census Tract 121, Imperial County, California",06,025,012100
958,1400000US06025012200,8153,3940,0,279,2095,1839,"Census Tract 122, Imperial County, California",06,025,012200
959,1400000US06025012301,4956,4082,17,128,145,584,"Census Tract 123.01, Imperial County, California",06,025,012301
960,1400000US06025012302,6173,4628,0,135,445,965,"Census Tract 123.02, Imperial County, California",06,025,012302
961,1400000US06025012400,885,672,0,0,26,187,"Census Tract 124, Imperial County, California",06,025,012400
962,1400000US06025940000,1917,1740,0,11,53,113,"Census Tract 9400, Imperial County, California",06,025,940000
963,1400000US06027000100,2853,2625,0,0,107,121,"Census Tract 1, Inyo County, California",06,027,000100
964,1400000US06027000200,1737,1593,0,18,32,94,"Census Tract 2, Inyo County, California",06,027,000200
965,1400000US06027000300,2740,2558,0,31,104,47,"Census Tract 3, Inyo County, California",06,027,000300
966,1400000US06027000400,5680,4918,6,33,377,346,"Census Tract 4, Inyo County, California",06,027,000400
967,1400000US06027000500,2389,2274,3,2,68,42,"Census Tract 5, Inyo County, California",06,027,000500
968,1400000US06027000800,2796,2421,0,2,112,261,"Census Tract 8, Inyo County, California",06,027,000800
969,1400000US06029000101,13188,12613,0,24,130,421,"Census Tract 1.01, Kern County, California",06,029,000101
970,1400000US06029000102,3171,2946,34,32,34,125,"Census Tract 1.02, Kern County, California",06,029,000102
971,1400000US06029000200,7666,7378,0,73,168,47,"Census Tract 2, Kern County, California",06,029,000200
972,1400000US06029000300,4668,4381,0,17,50,220,"Census Tract 3, Kern County, California",06,029,000300
973,1400000US06029000400,4198,3995,0,0,72,131,"Census Tract 4, Kern County, California",06,029,000400
974,1400000US06029000503,7170,6588,0,42,351,189,"Census Tract 5.03, Kern County, California",06,029,000503
975,1400000US06029000504,4716,4463,12,24,125,92,"Census Tract 5.04, Kern County, California",06,029,000504
976,1400000US06029000505,3800,3612,0,9,77,102,"Census Tract 5.05, Kern County, California",06,029,000505
977,1400000US06029000506,2528,2114,0,64,140,210,"Census Tract 5.06, Kern County, California",06,029,000506
978,1400000US06029000507,3676,3401,0,0,206,69,"Census Tract 5.07, Kern County, California",06,029,000507
979,1400000US06029000600,7247,6692,0,78,41,436,"Census Tract 6, Kern County, California",06,029,000600
980,1400000US06029000700,5535,4949,8,66,177,335,"Census Tract 7, Kern County, California",06,029,000700
981,1400000US06029000800,5255,4699,0,30,300,226,"Census Tract 8, Kern County, California",06,029,000800
982,1400000US06029000902,3474,2937,18,26,253,240,"Census Tract 9.02, Kern County, California",06,029,000902
983,1400000US06029000903,3791,3296,0,11,83,401,"Census Tract 9.03, Kern County, California",06,029,000903
984,1400000US06029000904,4688,3981,34,34,337,302,"Census Tract 9.04, Kern County, California",06,029,000904
985,1400000US06029000905,2472,1981,11,24,154,302,"Census Tract 9.05, Kern County, California",06,029,000905
986,1400000US06029000906,4431,3693,0,46,163,529,"Census Tract 9.06, Kern County, California",06,029,000906
987,1400000US06029000907,2837,2464,0,22,64,287,"Census Tract 9.07, Kern County, California",06,029,000907
