,Geography,Estimate!!Total,Estimate!!Total!!U.S. citizen born in the United States,Estimate!!Total!!U.S. citizen born in Puerto Rico or U.S. Island Areas,Estimate!!Total!!U.S. citizen born abroad of American parent(s),Estimate!!Total!!U.S. citizen by naturalization,Estimate!!Total!!Not a U.S. citizen,NAME,state,county,tract
7359,1400000US06089010704,4020,3775,12,0,79,154,"Census Tract 107.04, Shasta County, California",06,089,010704
7360,1400000US06089010803,5857,4713,0,7,149,988,"Census Tract 108.03, Shasta County, California",06,089,010803
7361,1400000US06089010804,2726,2529,0,0,46,151,"Census Tract 108.04, Shasta County, California",06,089,010804
7362,1400000US06089010805,4968,4740,4,62,127,35,"Census Tract 108.05, Shasta County, California",06,089,010805
7363,1400000US06089010806,3033,3000,0,0,17,16,"Census Tract 108.06, Shasta County, California",06,089,010806
7364,1400000US06089010807,4457,4124,0,97,144,92,"Census Tract 108.07, Shasta County, California",06,089,010807
7365,1400000US06089010900,4274,3984,0,11,194,85,"Census Tract 109, Shasta County, California",06,089,010900
7366,1400000US06089011001,1711,1626,7,4,65,9,"Census Tract 110.01, Shasta County, California",06,089,011001
7367,1400000US06089011002,5166,4766,0,74,254,72,"Census Tract 110.02, Shasta County, California",06,089,011002
7368,1400000US06089011100,3035,2946,0,37,10,42,"Census Tract 111, Shasta County, California",06,089,011100
7369,1400000US06089011209,6244,5687,0,0,201,356,"Census Tract 112.09, Shasta County, California",06,089,011209
7370,1400000US06089011300,5108,4739,0,9,256,104,"Census Tract 113, Shasta County, California",06,089,011300
7371,1400000US06089011401,3803,3640,8,11,21,123,"Census Tract 114.01, Shasta County, California",06,089,011401
7372,1400000US06089011402,3320,2978,0,58,213,71,"Census Tract 114.02, Shasta County, California",06,089,011402
7373,1400000US06089011403,2785,2561,0,9,162,53,"Census Tract 114.03, Shasta County, California",06,089,011403
7374,1400000US06089011500,5513,5220,0,14,195,84,"Census Tract 115, Shasta County, California",06,089,011500
7375,1400000US06089011600,3702,3506,0,34,113,49,"Census Tract 116, Shasta County, California",06,089,011600
7376,1400000US06089011701,2359,2312,0,4,25,18,"Census Tract 117.01, Shasta County, California",06,089,011701
7377,1400000US06089011702,3343,3221,0,13,78,31,"Census Tract 117.02, Shasta County, California",06,089,011702
7378,1400000US06089011703,3468,3300,0,11,42,115,"Census Tract 117.03, Shasta County, California",06,089,011703
7379,1400000US06089011801,2371,2277,7,2,81,4,"Census Tract 118.01, Shasta County, California",06,089,011801
7380,1400000US06089011802,2663,2501,9,0,96,57,"Census Tract 118.02, Shasta County, California",06,089,011802
7381,1400000US06089011803,2588,2351,0,11,129,97,"Census Tract 118.03, Shasta County, California",06,089,011803
7382,1400000US06089011900,4363,4274,0,10,43,36,"Census Tract 119, Shasta County, California",06,089,011900
7383,1400000US06089012000,4667,4492,0,38,98,39,"Census Tract 120, Shasta County, California",06,089,012000
7384,1400000US06089012101,4474,4341,0,32,71,30,"Census Tract 121.01, Shasta County, California",06,089,012101
7385,1400000US06089012102,1945,1858,0,0,68,19,"Census Tract 121.02, Shasta County, California",06,089,012102
7386,1400000US06089012200,6461,6078,0,0,169,214,"Census Tract 122, Shasta County, California",06,089,012200
7387,1400000US06089012301,2772,2542,27,29,33,141,"Census Tract 123.01, Shasta County, California",06,089,012301
7388,1400000US06089012302,5543,5262,0,2,54,225,"Census Tract 123.02, Shasta County, California",06,089,012302
7389,1400000US06089012303,3812,3765,0,0,25,22,"Census Tract 123.03, Shasta County, California",06,089,012303
7390,1400000US06089012400,3771,3647,5,10,95,14,"Census Tract 124, Shasta County, California",06,089,012400
7391,1400000US06089012500,1499,1422,2,24,27,24,"Census Tract 125, Shasta County, California",06,089,012500
7392,1400000US06089012601,4848,4686,0,18,122,22,"Census Tract 126.01, Shasta County, California",06,089,012601
7393,1400000US06089012603,4032,3899,0,39,44,50,"Census Tract 126.03, Shasta County, California",06,089,012603
7394,1400000US06089012604,2215,2167,0,28,7,13,"Census Tract 126.04, Shasta County, California",06,089,012604
7395,1400000US06089012701,4863,4592,0,49,77,145,"Census Tract 127.01, Shasta County, California",06,089,012701
7396,1400000US06089012702,3055,2834,4,0,113,104,"Census Tract 127.02, Shasta County, California",06,089,012702
7397,1400000US06091010000,2885,2810,0,0,35,40,"Census Tract 100, Sierra County, California",06,091,010000
7398,1400000US06093000100,1202,850,8,0,89,255,"Census Tract 1, Siskiyou County, California",06,093,000100
7399,1400000US06093000200,1753,1478,0,7,93,175,"Census Tract 2, Siskiyou County, California",06,093,000200
7400,1400000US06093000300,4170,3915,7,13,76,159,"Census Tract 3, Siskiyou County, California",06,093,000300
7401,1400000US06093000400,580,560,0,5,9,6,"Census Tract 4, Siskiyou County, California",06,093,000400
7402,1400000US06093000500,1816,1717,0,13,42,44,"Census Tract 5, Siskiyou County, California",06,093,000500
7403,1400000US06093000600,1874,1745,0,17,67,45,"Census Tract 6, Siskiyou County, California",06,093,000600
7404,1400000US06093000701,3709,3560,27,50,48,24,"Census Tract 7.01, Siskiyou County, California",06,093,000701
7405,1400000US06093000702,4498,4389,0,9,48,52,"Census Tract 7.02, Siskiyou County, California",06,093,000702
7406,1400000US06093000703,3262,3049,1,18,129,65,"Census Tract 7.03, Siskiyou County, California",06,093,000703
7407,1400000US06093000800,3341,3178,9,42,43,69,"Census Tract 8, Siskiyou County, California",06,093,000800
7408,1400000US06093000900,7305,6788,0,91,223,203,"Census Tract 9, Siskiyou County, California",06,093,000900
7409,1400000US06093001000,6697,6477,0,17,185,18,"Census Tract 10, Siskiyou County, California",06,093,001000
7410,1400000US06093001100,1948,1825,0,20,57,46,"Census Tract 11, Siskiyou County, California",06,093,001100
7411,1400000US06093001200,1375,1351,0,8,14,2,"Census Tract 12, Siskiyou County, California",06,093,001200
7412,1400000US06095250103,5027,3421,155,111,851,489,"Census Tract 2501.03, Solano County, California",06,095,250103
7413,1400000US06095250104,2045,1370,0,36,456,183,"Census Tract 2501.04, Solano County, California",06,095,250104
7414,1400000US06095250105,6836,4260,27,135,1778,636,"Census Tract 2501.05, Solano County, California",06,095,250105
7415,1400000US06095250106,4912,3011,9,92,1449,351,"Census Tract 2501.06, Solano County, California",06,095,250106
7416,1400000US06095250200,3824,3096,0,29,453,246,"Census Tract 2502, Solano County, California",06,095,250200
7417,1400000US06095250300,3280,2389,18,59,543,271,"Census Tract 2503, Solano County, California",06,095,250300
7418,1400000US06095250400,2728,2356,7,13,210,142,"Census Tract 2504, Solano County, California",06,095,250400
7419,1400000US06095250501,2264,1820,28,14,178,224,"Census Tract 2505.01, Solano County, California",06,095,250501
7420,1400000US06095250502,3493,2404,0,85,785,219,"Census Tract 2505.02, Solano County, California",06,095,250502
